,age,prob
0,6.0,0.0
1,6.000400040004,0.0
2,6.000800080008001,0.0
3,6.001200120012001,0.0
4,6.001600160016001,0.0
5,6.002000200020002,0.0
6,6.002400240024002,0.0
7,6.002800280028003,0.0
8,6.003200320032003,0.0
9,6.003600360036003,0.0
10,6.004000400040004,0.0
11,6.004400440044004,0.0
12,6.004800480048004,0.0
13,6.005200520052005,0.0
14,6.005600560056005,0.0
15,6.006000600060006,0.0
16,6.006400640064006,0.0
17,6.0068006800680065,0.0
18,6.0072007200720074,0.0
19,6.0076007600760075,0.0
20,6.008000800080008,0.0
21,6.0084008400840085,0.0
22,6.008800880088009,0.0
23,6.00920092009201,0.0
24,6.00960096009601,0.0
25,6.01000100010001,0.0
26,6.010401040104011,0.0
27,6.010801080108011,0.0
28,6.011201120112011,0.0
29,6.011601160116012,0.0
30,6.012001200120012,0.0
31,6.012401240124013,0.0
32,6.012801280128013,0.0
33,6.013201320132013,0.0
34,6.013601360136014,0.0
35,6.014001400140014,0.0
36,6.014401440144014,0.0
37,6.014801480148015,0.0
38,6.015201520152015,0.0
39,6.015601560156016,0.0
40,6.016001600160016,0.0
41,6.016401640164016,0.0
42,6.016801680168017,0.0
43,6.017201720172017,0.0
44,6.017601760176017,0.0
45,6.018001800180018,0.0
46,6.018401840184018,0.0
47,6.018801880188019,0.0
48,6.019201920192019,0.0
49,6.019601960196019,0.0
50,6.02000200020002,0.0
51,6.02040204020402,0.0
52,6.02080208020802,0.0
53,6.021202120212021,0.0
54,6.0216021602160215,0.0
55,6.022002200220022,0.0
56,6.0224022402240225,0.0
57,6.0228022802280226,0.0
58,6.0232023202320235,0.0
59,6.023602360236024,0.0
60,6.024002400240024,0.0
61,6.024402440244025,0.0
62,6.024802480248025,0.0
63,6.025202520252026,0.0
64,6.025602560256026,0.0
65,6.026002600260026,0.0
66,6.026402640264027,0.0
67,6.026802680268027,0.0
68,6.027202720272027,0.0
69,6.027602760276028,0.0
70,6.028002800280028,0.0
71,6.028402840284029,0.0
72,6.028802880288029,0.0
73,6.029202920292029,0.0
74,6.02960296029603,0.0
75,6.03000300030003,0.0
76,6.03040304030403,0.0
77,6.030803080308031,0.0
78,6.031203120312031,0.0
79,6.031603160316031,0.0
80,6.032003200320032,0.0
81,6.032403240324032,0.0
82,6.032803280328033,0.0
83,6.033203320332033,0.0
84,6.033603360336033,0.0
85,6.034003400340034,0.0
86,6.034403440344034,0.0
87,6.034803480348034,0.0
88,6.035203520352035,0.0
89,6.035603560356035,0.0
90,6.036003600360036,0.0
91,6.036403640364036,0.0
92,6.0368036803680365,0.0
93,6.0372037203720375,0.0
94,6.0376037603760375,0.0
95,6.038003800380038,0.0
96,6.0384038403840385,0.0
97,6.038803880388039,0.0
98,6.03920392039204,0.0
99,6.03960396039604,0.0
100,6.04000400040004,0.0
101,6.040404040404041,0.0
102,6.040804080408041,0.0
103,6.041204120412041,0.0
104,6.041604160416042,0.0
105,6.042004200420042,0.0
106,6.042404240424043,0.0
107,6.042804280428043,0.0
108,6.043204320432043,0.0
109,6.043604360436044,0.0
110,6.044004400440044,0.0
111,6.044404440444044,0.0
112,6.044804480448045,0.0
113,6.045204520452045,0.0
114,6.045604560456046,0.0
115,6.046004600460046,0.0
116,6.046404640464046,0.0
117,6.046804680468047,0.0
118,6.047204720472047,0.0
119,6.047604760476047,0.0
120,6.048004800480048,0.0
121,6.048404840484048,0.0
122,6.048804880488049,0.0
123,6.049204920492049,0.0
124,6.049604960496049,0.0
125,6.05000500050005,0.0
126,6.05040504050405,0.0
127,6.05080508050805,0.0
128,6.051205120512051,0.0
129,6.0516051605160515,0.0
130,6.052005200520052,0.0
131,6.0524052405240525,0.0
132,6.052805280528053,0.0
133,6.0532053205320535,0.0
134,6.053605360536054,0.0
135,6.054005400540054,0.0
136,6.054405440544055,0.0
137,6.054805480548055,0.0
138,6.055205520552056,0.0
139,6.055605560556056,0.0
140,6.056005600560056,0.0
141,6.056405640564057,0.0
142,6.056805680568057,0.0
143,6.057205720572057,0.0
144,6.057605760576058,0.0
145,6.058005800580058,0.0
146,6.058405840584059,0.0
147,6.058805880588059,0.0
148,6.059205920592059,0.0
149,6.05960596059606,0.0
150,6.06000600060006,0.0
151,6.06040604060406,0.0
152,6.060806080608061,0.0
153,6.061206120612061,0.0
154,6.061606160616062,0.0
155,6.062006200620062,0.0
156,6.062406240624062,0.0
157,6.062806280628063,0.0
158,6.063206320632063,0.0
159,6.063606360636063,0.0
160,6.064006400640064,0.0
161,6.064406440644064,0.0
162,6.064806480648064,0.0
163,6.065206520652065,0.0
164,6.065606560656065,0.0
165,6.066006600660066,0.0
166,6.066406640664066,0.0
167,6.0668066806680665,0.0
168,6.0672067206720675,0.0
169,6.0676067606760675,0.0
170,6.068006800680068,0.0
171,6.0684068406840685,0.0
172,6.068806880688069,0.0
173,6.06920692069207,0.0
174,6.06960696069607,0.0
175,6.07000700070007,0.0
176,6.070407040704071,0.0
177,6.070807080708071,0.0
178,6.071207120712071,0.0
179,6.071607160716072,0.0
180,6.072007200720072,0.0
181,6.072407240724073,0.0
182,6.072807280728073,0.0
183,6.073207320732073,0.0
184,6.073607360736074,0.0
185,6.074007400740074,0.0
186,6.074407440744074,0.0
187,6.074807480748075,0.0
188,6.075207520752075,0.0
189,6.075607560756076,0.0
190,6.076007600760076,0.0
191,6.076407640764076,0.0
192,6.076807680768077,0.0
193,6.077207720772077,0.0
194,6.077607760776077,0.0
195,6.078007800780078,0.0
196,6.078407840784078,0.0
197,6.078807880788079,0.0
198,6.079207920792079,0.0
199,6.079607960796079,0.0
200,6.08000800080008,0.0
201,6.08040804080408,0.0
202,6.08080808080808,0.0
203,6.081208120812081,0.0
204,6.0816081608160815,0.0
205,6.082008200820082,0.0
206,6.0824082408240825,0.0
207,6.082808280828083,0.0
208,6.0832083208320835,0.0
209,6.083608360836084,0.0
210,6.084008400840084,0.0
211,6.084408440844085,0.0
212,6.084808480848085,0.0
213,6.085208520852086,0.0
214,6.085608560856086,0.0
215,6.086008600860086,0.0
216,6.086408640864087,0.0
217,6.086808680868087,0.0
218,6.087208720872087,0.0
219,6.087608760876088,0.0
220,6.088008800880088,0.0
221,6.088408840884089,0.0
222,6.088808880888089,0.0
223,6.089208920892089,0.0
224,6.08960896089609,0.0
225,6.09000900090009,0.0
226,6.09040904090409,0.0
